X,Y
-4.850387135674011,1.0
-4.374947508175516,1.0
-5.942844012765033,1.0
-5.765883154907193,1.0
-3.861565744868171,1.0
-3.4265004391279583,1.0
-6.3724098599052486,1.0
-5.576083345806756,1.0
-6.535543648749165,1.0
-6.80849336688592,1.0
-5.659591009764814,1.0
-4.886174722137547,1.0
-7.29370723081954,1.0
-4.36847122308197,1.0
-5.919360999157324,1.0
-5.906732305564811,1.0
-5.702335398594682,1.0
-3.9170484182855727,1.0
-4.214043624121535,1.0
-5.76687083485614,1.0
-4.555042680125332,1.0
-4.8611246178514955,1.0
-6.4937356397600015,1.0
-3.2445951896847403,1.0
-4.135347727200648,1.0
-6.306553093733596,1.0
-5.0480312592809415,1.0
-3.9294819332178093,1.0
-3.147921725271144,1.0
-4.101569505164911,1.0
-3.797892108246959,1.0
-3.5643497938767252,1.0
-5.624127948006099,1.0
-4.310176062581397,1.0
-4.919480877046543,1.0
-8.682853246338182,-1.0
-9.351481771670331,-1.0
-8.648022827116602,-1.0
-7.833190781728684,-1.0
-9.276693582789445,-1.0
-10.17070570158533,-1.0
-8.700253744856072,-1.0
-8.086494449270248,-1.0
-8.517001311168256,-1.0
-10.46200177990596,-1.0
-8.789166289387857,-1.0
-7.67152377158607,-1.0
-9.663751109750537,-1.0
-9.97226357043293,-1.0
-8.766993790265238,-1.0
-8.974282195917604,-1.0
-7.465817987028554,-1.0
-8.625872836181545,-1.0
-9.961262586801334,-1.0
-8.32046629270389,-1.0
-8.709721391572353,-1.0
-8.114043801177598,-1.0
-9.899175624684077,-1.0
-7.780068780553079,-1.0
-9.50524649281638,-1.0
-8.738240666307567,-1.0
-10.234369028104352,-1.0
-8.311026825988193,-1.0
-9.971681405062794,-1.0
-10.82755003444577,-1.0
-10.739615226899838,-1.0
-10.082082292893695,-1.0
-10.03783791907941,-1.0
-9.761415733887134,-1.0
-9.454513572737449,-1.0
